ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIPP4,TELEPHONE,TYPE,STATUS,COUNTY,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE_DATE,WEBSITE,ALT_NAME,OWNERSHIP,BEDS,TRAUMA,HELIPAD,GEN_FACILITY_TYPE
15127401,SELECT SPECIALTY HOSPITAL - GREENSBORO,1200 N ELM ST,GREENSBORO,NC,27401,NOT AVAILABLE,(336) 832-5700,GENERAL ACUTE CARE,OPEN,GUILFORD,USA,36.09101799,-79.78604811,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://greensboro.selectspecialtyhospitals.com/,NOT AVAILABLE,PROPRIETARY,30,NOT AVAILABLE,NOT AVAILABLE,HOSPITAL
15027704,SELECT SPECIALTY HOSPITAL - DURHAM,3643 N ROXBORO ST,DURHAM,NC,27704,NOT AVAILABLE,(919) 470-9159,GENERAL ACUTE CARE,OPEN,DURHAM,USA,36.03749791,-78.9006067,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://durham.selectspecialtyhospitals.com/,NOT AVAILABLE,PROPRIETARY,30,NOT AVAILABLE,NOT AVAILABLE,HOSPITAL
14927103,SELECT SPECIALTY HOSPITAL - WINSTON SALEM,3333 SILAS CREEK PKWY,WINSTON SALEM,NC,27103,NOT AVAILABLE,(336) 760-4668,GENERAL ACUTE CARE,OPEN,FORSYTH,USA,36.07472236,-80.29752273,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://winstonsalem.selectspecialtyhospitals.com/,NOT AVAILABLE,PROPRIETARY,42,NOT AVAILABLE,NOT AVAILABLE,HOSPITAL
14828210,CAROLINA CONTINUECARE AT PINEVILLE,10648 PARK RD,CHARLOTTE,NC,28210,NOT AVAILABLE,(704) 667-8050,LONG TERM CARE,OPEN,MECKLENBURG,USA,35.09082721,-80.87122558,622310,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)",2016-01-25T00:00:00.000Z,http://continuecare.org/pineville/,NOT AVAILABLE,NON-PROFIT,40,NOT AVAILABLE,N,HOSPITAL
14728217,CAROLINA CONTINUECARE AT UNIVERSITY,8800 N TRYON ST,CHARLOTTE,NC,28217,NOT AVAILABLE,(704) 863-8300,LONG TERM CARE,OPEN,MECKLENBURG,USA,35.30675743,-80.74772609,622310,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)",2016-01-25T00:00:00.000Z,http://continuecare.org/charlotte/,NOT AVAILABLE,NON-PROFIT,35,NOT AVAILABLE,N,HOSPITAL
14628376,FIRSTHEALTH MOORE REGIONAL HOSPITAL - HOKE CAMPUS,1144 N RD ST,RAEFORD,NC,28376,NOT AVAILABLE,(910) 878-6000,GENERAL ACUTE CARE,OPEN,HOKE,USA,35.02100061,-79.14921866,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,https://www.firsthealth.org/directory/hospitals-and-service-locations/firsthealth-moore-regional-hospital-hoke-campus,NOT AVAILABLE,NON-PROFIT,8,NOT AVAILABLE,Y,HOSPITAL
14528025,CAROLINAS REHABILITATION - NORTHEAST,487 LAKE CONCORD RD,CONCORD,NC,28025,NOT AVAILABLE,(704) 355-3398,REHABILITATION,OPEN,CABARRUS,USA,35.44281606,-80.60084365,622210,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",2016-01-25T00:00:00.000Z,http://www.carolinashealthcare.org/rehabilitation,NOT AVAILABLE,NON-PROFIT,40,NOT AVAILABLE,N,HOSPITAL
14428603,ALEXANDER HOSPITAL,PO BOX 2568,HICKORY,NC,28603,NOT AVAILABLE,(828) 377-4745,GENERAL ACUTE CARE,OPEN,ALEXANDER,USA,35.89837411,-81.17889455,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.fryemedctr.com/en-US/Pages/default.aspx,NOT AVAILABLE,PROPRIETARY,25,NOT AVAILABLE,N,HOSPITAL
14328086,CAROLINAS CONTINUECARE AT KINGS MOUNTAIN,706 W KING ST,KINGS MOUNTAIN,NC,28086,NOT AVAILABLE,(980) 487-5520,LONG TERM CARE,OPEN,CLEVELAND,USA,35.24186511,-81.35654875,622310,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)",2016-01-25T00:00:00.000Z,http://continuecare.org/kings-mountain/,NOT AVAILABLE,NON-PROFIT,28,NOT AVAILABLE,N,HOSPITAL
14228170,CAPE FEAR VALLEY HOKE HOSPITAL,201 MEDICAL PAVILION DR,RAEFORD,NC,28376,NOT AVAILABLE,(910) 615-4000,GENERAL ACUTE CARE,OPEN,HOKE,USA,35.02973391,-79.10759204,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.capefearvalley.com/hospitals/hoke.html,NOT AVAILABLE,NON-PROFIT,41,NOT AVAILABLE,N,HOSPITAL
14128170,CAROLINAS HEALTHCARE SYSTEM - ANSON,2301 US HIGHWAY 74 W,WADESBORO,NC,28170,NOT AVAILABLE,(704) 694-5131,GENERAL ACUTE CARE,OPEN,ANSON,USA,34.97772188,-80.11008562,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.carolinashealthcare.org/anson,NOT AVAILABLE,GOVERNMENT - DISTRICT/AUTHORITY,15,NOT AVAILABLE,Y,HOSPITAL
13128533,NAVAL HEALTH CLINIC CHERRY POINT,BEAUFORT RD,CHERRY POINT,NC,28533,NOT AVAILABLE,(252) 466-0266,GENERAL ACUTE CARE,OPEN,CRAVEN,USA,34.89516554,-76.9086764,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.med.navy.mil/sites/cpoint/Pages/default.aspx,NOT AVAILABLE,GOVERNMENT - DISTRICT/AUTHORITY,23,NOT AVAILABLE,NOT AVAILABLE,HOSPITAL
12528210,CAROLINAS MEDICAL CENTER-PINEVILLE,10628 PARK RD,CHARLOTTE,NC,28210,NOT AVAILABLE,(704) 543-2025,GENERAL ACUTE CARE,OPEN,MECKLENBURG,USA,35.09201218,-80.87161819,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.carolinashealthcare.org/cmc-pineville,NOT AVAILABLE,GOVERNMENT - DISTRICT/AUTHORITY,206,NOT AVAILABLE,Y,HOSPITAL
12227403,WESLEY LONG COMMUNITY HOSPITAL,501 N ELAM AVE,GREENSBORO,NC,27403,NOT AVAILABLE,(336) 854-6100,GENERAL ACUTE CARE,OPEN,GUILFORD,USA,36.08342606,-79.82541858,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.conehealth.com/locations/wesley-long-hospital,NOT AVAILABLE,NON-PROFIT,175,NOT AVAILABLE,NOT AVAILABLE,HOSPITAL
12127614,WAKEMED NORTH HEALTHPLEX,10000 FALLS OF NEUSE RD,RALEIGH,NC,27614,NOT AVAILABLE,(919) 350-1300,GENERAL ACUTE CARE,OPEN,WAKE,USA,35.90908232,-78.59783739,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.wakemed.org/landing.cfm?id=1848,NOT AVAILABLE,NON-PROFIT,61,NOT AVAILABLE,NOT AVAILABLE,HOSPITAL
11927893,WILSON MEDICAL CENTER,1705 TARBORO ST SW,WILSON,NC,27893,NOT AVAILABLE,(252) 399-8040,GENERAL ACUTE CARE,OPEN,WILSON,USA,35.71855867,-77.94381309,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.wilmed.org,NOT AVAILABLE,NON-PROFIT,317,NOT AVAILABLE,Y,HOSPITAL
11828659,WILKES REGIONAL MEDICAL CENTER,1370 W D ST,NORTH WILKESBORO,NC,28659,NOT AVAILABLE,(336) 651-8100,GENERAL ACUTE CARE,OPEN,WILKES,USA,36.15919304,-81.15791165,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.wilkesregional.org,NOT AVAILABLE,GOVERNMENT - DISTRICT/AUTHORITY,130,NOT AVAILABLE,Y,HOSPITAL
11727533,WAYNE MEMORIAL HOSPITAL,2700 WAYNE MEMORIAL DR,GOLDSBORO,NC,27533,NOT AVAILABLE,(919) 736-1110,GENERAL ACUTE CARE,OPEN,WAYNE,USA,35.39848375,-77.9524687,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.waynehealth.org,NOT AVAILABLE,NON-PROFIT,316,NOT AVAILABLE,Y,HOSPITAL
11628607,"WATAUGA MEDICAL CENTER, INC.",336 DEERFIELD RD,BOONE,NC,28607,NOT AVAILABLE,(828) 262-4100,GENERAL ACUTE CARE,OPEN,WATAUGA,USA,36.19846886,-81.65152936,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://https://apprhs.org/locations/watauga-medical-center,NOT AVAILABLE,NON-PROFIT,117,NOT AVAILABLE,Y,HOSPITAL
11527962,WASHINGTON COUNTY HOSPITAL,958 U S HIGHWAY 64 E,PLYMOUTH,NC,27962,NOT AVAILABLE,(252) 793-4135,GENERAL ACUTE CARE,OPEN,WASHINGTON,USA,35.86278208,-76.72928368,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,wch.hmccah.com/‎,NOT AVAILABLE,GOVERNMENT - LOCAL,49,NOT AVAILABLE,NOT AVAILABLE,HOSPITAL
11427511,WAKEMED CARY HOSPITAL,1900 KILDAIRE FARM RD,CARY,NC,27511,NOT AVAILABLE,(919) 350-2550,GENERAL ACUTE CARE,OPEN,WAKE,USA,35.74022405,-78.78145631,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.wakemed.org/subhome.cfm?id=54,NOT AVAILABLE,NON-PROFIT,150,NOT AVAILABLE,Y,HOSPITAL
11327620,WAKEMED,3000 NEW BERN AVE,RALEIGH,NC,27620,NOT AVAILABLE,(919) 350-8000,GENERAL ACUTE CARE,OPEN,WAKE,USA,35.78451135,-78.58790197,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.wakemed.org/subhome.cfm?id=52,NOT AVAILABLE,NON-PROFIT,870,I,Y,HOSPITAL
11228690,"VALDESE GENERAL HOSPITAL, INC.",720 MALCOLM BLVD,VALDESE,NC,28690,NOT AVAILABLE,(828) 874-2251,GENERAL ACUTE CARE,CLOSED,BURKE,USA,35.74812386,-81.52341992,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2012-07-03T00:00:00.000Z,http://www.blueridgehealth.org,CAROLINAS HEALTHCARE SYSTEM BLUE RIDGE VALDESE,NON-PROFIT,131,NOT AVAILABLE,Y,HOSPITAL
11127514,UNIVERSITY OF NORTH CAROLINA HOSPITALS,101 MANNING DR,CHAPEL HILL,NC,27514,NOT AVAILABLE,(919) 966-4131,GENERAL ACUTE CARE,OPEN,ORANGE,USA,35.9045427,-79.04968923,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.unchealthcare.org,NOT AVAILABLE,GOVERNMENT - STATE,896,LEVEL I,NOT AVAILABLE,HOSPITAL
11028712,"TRANSYLVANIA COMMUNITY HOSPITAL, INC. AND BRIDGEWAY",P O BOX 1116,BREVARD,NC,28712,NOT AVAILABLE,(828) 884-9111,GENERAL ACUTE CARE,OPEN,TRANSYLVANIA,USA,35.2561391,-82.71191029,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.trhospital.org,NOT AVAILABLE,NON-PROFIT,94,NOT AVAILABLE,Y,HOSPITAL
10927360,NOVANT HEALTH THOMASVILLE MEDICAL CENTER,207 OLD LEXINGTON RD,THOMASVILLE,NC,27360,NOT AVAILABLE,(336) 472-2000,GENERAL ACUTE CARE,OPEN,DAVIDSON,USA,35.87988512,-80.11147956,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,https://www.novanthealth.org/thomasville-medical-center.aspx,THOMASVILLE MEDICAL CENTER,NON-PROFIT,149,NOT AVAILABLE,NOT AVAILABLE,HOSPITAL
10827959,THE OUTER BANKS HOSPITAL,4800 S CROATAN HIGHWAY,NAGS HEAD,NC,27959,NOT AVAILABLE,(252) 449-4500,GENERAL ACUTE CARE,OPEN,DARE,USA,35.9398365,-75.61764914,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.theouterbankshospital.com,NOT AVAILABLE,NON-PROFIT,21,NOT AVAILABLE,Y,HOSPITAL
10728752,MCDOWELL HOSPITAL,430 RANKIN DR,MARION,NC,28752,NOT AVAILABLE,(828) 659-5000,GENERAL ACUTE CARE,OPEN,MCDOWELL,USA,35.66339557,-82.02847628,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.mcdhospital.org,NOT AVAILABLE,NON-PROFIT,65,NOT AVAILABLE,Y,HOSPITAL
10628713,SWAIN COMMUNITY HOSPITAL,45 PLATEAU ST,BRYSON CITY,NC,28713,NOT AVAILABLE,(828) 488-2155,GENERAL ACUTE CARE,OPEN,SWAIN,USA,35.43448549,-83.44479257,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.myswaincommunity.com/,NOT AVAILABLE,NON-PROFIT,48,NOT AVAILABLE,Y,HOSPITAL
10527016,PIONEER COMMUNITY HOSPITAL OF STOKES,1570 NC 8 & 89 HWY N,DANBURY,NC,27016,NOT AVAILABLE,(336) 593-2831,GENERAL ACUTE CARE,OPEN,STOKES,USA,36.418068,-80.23107621,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.pchstokes.com/,NOT AVAILABLE,PROPRIETARY,93,NOT AVAILABLE,NOT AVAILABLE,HOSPITAL
10428002,CAROLINAS HEALTHCARE SYSTEM STANLY,301 YADKIN ST,ALBEMARLE,NC,28002,NOT AVAILABLE,(704) 984-4347,GENERAL ACUTE CARE,OPEN,STANLY,USA,35.3644432,-80.19482266,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.stanly.org,STANLY REGIONAL MEDICAL CENTER,GOVERNMENT - DISTRICT/AUTHORITY,109,NOT AVAILABLE,Y,HOSPITAL
10328722,ST. LUKE'S HOSPITAL,101 HOSPITAL DR,COLUMBUS,NC,28722,NOT AVAILABLE,(828) 894-3311,GENERAL ACUTE CARE,OPEN,POLK,USA,35.23946794,-82.21262408,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.saintlukeshospital.com,NOT AVAILABLE,NON-PROFIT,35,NOT AVAILABLE,Y,HOSPITAL
10228359,SOUTHEASTERN REGIONAL MEDICAL CENTER,300 W 27TH ST,LUMBERTON,NC,28359,NOT AVAILABLE,(910) 671-5000,GENERAL ACUTE CARE,OPEN,ROBESON,USA,34.63691079,-79.01212953,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.srmc.org/main/,NOT AVAILABLE,PROPRIETARY,452,NOT AVAILABLE,NOT AVAILABLE,HOSPITAL
10128352,SCOTLAND MEMORIAL HOSPITAL AND EDWIN MORGAN CENTER,500 LAUCHWOOD DR,LAURINBURG,NC,28352,NOT AVAILABLE,(910) 291-7000,GENERAL ACUTE CARE,OPEN,SCOTLAND,USA,34.75316918,-79.46980141,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.scotlandhealth.org/getpage.php?name=index,NOT AVAILABLE,PROPRIETARY,104,NOT AVAILABLE,Y,HOSPITAL
10028345,SANDHILLS REGIONAL MEDICAL CENTER,1000 W HAMLET AVE,HAMLET,NC,28345,NOT AVAILABLE,(910) 205-8000,GENERAL ACUTE CARE,OPEN,RICHMOND,USA,34.90181201,-79.70852145,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.sandhillsregional.com,NOT AVAILABLE,PROPRIETARY,64,NOT AVAILABLE,Y,HOSPITAL
9928329,SAMPSON REGIONAL MEDICAL CENTER,607 BEAMAN ST,CLINTON,NC,28329,NOT AVAILABLE,(910) 592-8511,GENERAL ACUTE CARE,OPEN,SAMPSON,USA,35.0071833,-78.32448767,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.sampsonrmc.org,NOT AVAILABLE,GOVERNMENT - LOCAL,146,NOT AVAILABLE,Y,HOSPITAL
9828139,"RUTHERFORD HOSPITAL, INC.",288 S RIDGECREST AVE,RUTHERFORDTON,NC,28139,NOT AVAILABLE,(828) 286-5000,GENERAL ACUTE CARE,OPEN,RUTHERFORD,USA,35.36235121,-81.96559595,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.rutherfordhosp.org,NOT AVAILABLE,NON-PROFIT,143,NOT AVAILABLE,Y,HOSPITAL
9728144,NOVANT HEALTH ROWAN MEDICAL CENTER,612 MOCKSVILLE AVE,SALISBURY,NC,28144,NOT AVAILABLE,(704) 210-5000,GENERAL ACUTE CARE,OPEN,ROWAN,USA,35.68126984,-80.47070794,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,https://www.novanthealth.org/rowan-medical-center.aspx,ROWAN REGIONAL MEDICAL CENTER,NON-PROFIT,268,NOT AVAILABLE,NOT AVAILABLE,HOSPITAL
9627910,VIDANT ROANOKE-CHOWAN HOSPITAL,500 S ACADEMY ST,AHOSKIE,NC,27910,NOT AVAILABLE,(252) 209-3000,GENERAL ACUTE CARE,OPEN,HERTFORD,USA,36.2854313,-76.99523498,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,https://www.vidanthealth.com/roanokechowan/dynamic-detail.aspx?id=449,NOT AVAILABLE,NON-PROFIT,114,NOT AVAILABLE,NOT AVAILABLE,HOSPITAL
9527607,REX HOSPITAL,4420 LAKE BOONE TRL,RALEIGH,NC,27607,NOT AVAILABLE,(919) 784-3100,GENERAL ACUTE CARE,OPEN,WAKE,USA,35.81748864,-78.70317191,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.rexhealth.com,NOT AVAILABLE,NON-PROFIT,514,LEVEL I,NOT AVAILABLE,HOSPITAL
9427204,RANDOLPH HOSPITAL,364 WHITE OAK ST,ASHEBORO,NC,27204,NOT AVAILABLE,(336) 625-5151,GENERAL ACUTE CARE,OPEN,RANDOLPH,USA,35.71144461,-79.81422804,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.randolphhospital.org,NOT AVAILABLE,NON-PROFIT,145,NOT AVAILABLE,Y,HOSPITAL
9327810,PUNGO DISTRICT HOSPITAL CORPORATION,202 E WATER ST,BELHAVEN,NC,27810,NOT AVAILABLE,(252) 943-2111,GENERAL ACUTE CARE,CLOSED,BEAUFORT,USA,35.53785037,-76.62331912,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2012-07-03T00:00:00.000Z,http://www.vidanthealth.com/vidant/dynamic-detail.aspx?id=11781,NOT AVAILABLE,NON-PROFIT,49,NOT AVAILABLE,Y,HOSPITAL
9228207,NOVANT HOSPITAL CHARLOTTE ORTHOPEDIC HOSPITAL,1901 RANDOLPH RD,CHARLOTTE,NC,28207,NOT AVAILABLE,(704) 316-2000,GENERAL ACUTE CARE,OPEN,MECKLENBURG,USA,35.2107976,-80.82352152,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,https://www.novanthealth.org/charlotte-orthopedic-hospital.aspx,CHARLOTTE ORTHOPEDIC HOSPITAL,NON-PROFIT,80,NOT AVAILABLE,NOT AVAILABLE,HOSPITAL
9127804,LIFECARE HOSPITALS OF NORTH CAROLINA,1051 NOELL LN,ROCKY MOUNT,NC,27804,NOT AVAILABLE,(252) 451-2300,LONG TERM CARE,OPEN,NASH,USA,35.97141262,-77.82118376,622310,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)",2016-01-25T00:00:00.000Z,http://www.lifecare-hospitals.com,NOT AVAILABLE,PROPRIETARY,50,NOT AVAILABLE,NOT AVAILABLE,HOSPITAL
9028144,W. G. (BILL) HEFNER VA MEDICAL CENTER,1601 BRENNER AVE,SALISBURY,NC,28144,NOT AVAILABLE,(704) 638-9000,MILITARY,OPEN,ROWAN,USA,35.68419984,-80.48815776,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-04-22T00:00:00.000Z,http://www.salisbury.va.gov/,NOT AVAILABLE,GOVERNMENT - FEDERAL,484,NOT AVAILABLE,Y,HOSPITAL
9027293,LEXINGTON MEMORIAL HOSPITAL,250 HOSPITAL DR,LEXINGTON,NC,27293,NOT AVAILABLE,(336) 248-5161,GENERAL ACUTE CARE,OPEN,DAVIDSON,USA,35.80615015,-80.28673542,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://lexington.wakehealth.edu/,NOT AVAILABLE,NON-PROFIT,94,NOT AVAILABLE,Y,HOSPITAL
8928805,CHARLES GEORGE VA MEDICAL CENTER,1100 TUNNEL RD,ASHEVILLE,NC,28805,NOT AVAILABLE,(828) 298-7911,MILITARY,OPEN,BUNCOMBE,USA,35.58861379,-82.48354085,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-04-22T00:00:00.000Z,http://www.asheville.va.gov/,NOT AVAILABLE,GOVERNMENT - FEDERAL,273,NOT AVAILABLE,N,HOSPITAL
